Note regarding coverage and payment indicators for codes in CMS’ 2020 HCPCS Update and DMEPOS Fee Schedule Files

If specific Medicare coverage or payment indicators or values have not been established for any new HCPCS codes, this may be because a n






  HCPC/MOD         ACTION CD       SHORT DESCRIPTION              LONG DESCRIPTION
   C9043         Discontinued      Injection, levoleucovorin      Injection, levoleucovorin, 1 mg
   C9044         Discontinued      Injection, cemiplimab-rwlc     Injection, cemiplimab-rwlc, 1 mg
   C9045         Discontinued      Moxetumomab pasudotox-tdfk     Injection, moxetumomab pasudotox-tdfk, 0.01 mg
   C9046              ADD          Cocaine hcl nasal solution     Cocaine hydrochloride nasal solution for topical administration, 1 mg
   C9047              ADD          Injection, caplacizumab-yhdp   Injection, caplacizumab-yhdp, 1 mg
   C9048         Discontinued      Dexamethasone ophth insert     Dexamethasone, lacrimal ophthalmic insert, 0.1 mg
   C9049         Discontinued      Injection, tagraxofusp-erzs    Injection, tagraxofusp-erzs, 10 mcg
   C9050         Discontinued      Injection, emapalumab-lzsg     Injection, emapalumab-lzsg, 1 mg
   C9051         Discontinued      Injection, omadacycline        Injection, omadacycline, 1 mg
   C9052         Discontinued      Injection, ravulizumab-cwv     Injection, ravulizumab-cwvz, 10 mg
   C9054              ADD          Injection, lefamulin           Injection, lefamulin (xenleta), 1 mg
   C9055              ADD          Inj, brexanolone               Injection, brexanolone, 1mg
   C9113           No Change       Inj pantoprazole sodium, via   Injection, pantoprazole sodium, per vial
   C9121           No Change       Injection, argatroban          Injection, argatroban, per 5 mg
   C9132           No Change       Kcentra, per i.u.              Prothrombin complex concentrate (human), kcentra, per i.u. of factor i
   C9133           No Change       Factor ix recombinant          Factor ix (antihemophilic factor, recombinant), rixubis, per i.u.
   C9134           No Change       Factor xiii a-subunit recomb   Factor xiii (antihemophilic factor, recombinant), tretten, per 10 i.u.
   C9135           No Change       Factor ix (alprolix)           Factor ix (antihemophilic factor, recombinant), alprolix, per i.u.
   C9136           No Change       Factor viii (eloctate)         Injection, factor viii, fc fusion protein, (recombinant), per i.u.
   C9137           No Change       Adynovate factor viii recom    Injection, factor viii (antihemophilic factor, recombinant) pegylated,
   C9138           No Change       Nuwiq factor viii recomb       Injection, factor viii (antihemophilic factor, recombinant) (nuwiq), 1
   C9139           No Change       Idelvion, 1 i.u.               Injection, factor ix, albumin fusion protein (recombinant), idelvion,
   C9140           No Change       Afstyla factor viii recomb     Injection, factor viii (antihemophilic factor, recombinant) (afstyla),
   C9141         Discontinued      Factor viii pegylated-aucl     Injection, factor viii, (antihemophilic factor, recombinant), pegylate
   C9248           No Change       Inj, clevidipine butyrate      Injection, clevidipine butyrate, 1 mg
   C9250           No Change       Artiss fibrin sealant          Human plasma fibrin sealant, vapor-heated, solvent-detergent (artiss),
   C9254           No Change       Injection, lacosamide          Injection, lacosamide, 1 mg
   C9257           No Change       Bevacizumab injection          Injection, bevacizumab, 0.25 mg
   C9275           No Change       Hexaminolevulinate hcl         Injection, hexaminolevulinate hydrochloride, 100 mg, per study dose
   C9285           No Change       Patch, lidocaine/tetracaine    Lidocaine 70 mg/tetracaine 70 mg, per patch
   C9290           No Change       Inj, bupivacaine liposome      Injection, bupivacaine liposome, 1 mg
   C9293           No Change       Injection, glucarpidase        Injection, glucarpidase, 10 units
   C9349           No Change       Puraply, puraply antimic       Puraply, and puraply antimicrobial, any type, per square centimeter
   C9352           No Change       Neuragen nerve guide, per cm   Microporous collagen implantable tube (neuragen nerve guide), per cent
   C9353           No Change       Neurawrap nerve protector,cm   Microporous collagen implantable slit tube (neurawrap nerve protector)
   C9354           No Change       Veritas collagen matrix, cm2   Acellular pericardial tissue matrix of non-human origin (veritas), per
   C9355           No Change       Neuromatrix nerve cuff, cm     Collagen nerve cuff (neuromatrix), per 0.5 centimeter length
   C9356           No Change       Tenoglide tendon prot, cm2     Tendon, porous matrix of cross-linked collagen and glycosaminoglycan m
   C9358           No Change       Surgimend, fetal               Dermal substitute, native, non-denatured collagen, fetal bovine origin
   C9359           No Change       Implnt,bon void filler-putty   Porous purified collagen matrix bone void filler (integra mozaik osteo
   C9360           No Change       Surgimend, neonatal            Dermal substitute, native, non-denatured collagen, neonatal bovine ori
   C9361           No Change       Neuromend nerve wrap           Collagen matrix nerve wrap (neuromend collagen nerve wrap), per 0.5 ce
   C9362           No Change       Implnt,bon void filler-strip   Porous purified collagen matrix bone void filler (integra mozaik osteo
   C9363           No Change       Integra meshed bil wound mat   Skin substitute, integra meshed bilayer wound matrix, per square centi
   C9364           No Change       Porcine implant, permacol      Porcine implant, permacol, per square centimeter
   C9399           No Change       Unclassified drugs or biolog   Unclassified drugs or biologicals
   C9407         Discontinued      Iodine i-131 iobenguane, dx    Iodine i-131 iobenguane, diagnostic, 1 millicurie
   C9408         Discontinued      Iodine i-131 iobenguane, tx    Iodine i-131 iobenguane, therapeutic, 1 millicurie
   C9441           No Change       Inj, ferric carboxymaltose     Injection, ferric carboxymaltose, 1 mg
   C9442           No Change       Injection, belinostat          Injection, belinostat, 10 mg
   C9443           No Change       Injection, dalbavancin         Injection, dalbavancin, 10 mg
   C9444           No Change       Injection, oritavancin         Injection, oritavancin, 10 mg
   C9445           No Change       C-1 esterase, ruconest         Injection, c-1 esterase inhibitor (recombinant), ruconest, 10 units
   C9446           No Change       Inj, tedizolid phosphate       Injection, tedizolid phosphate, 1 mg
   C9447         Discontinued      Inj, phenylephrine ketorolac   Injection, phenylephrine and ketorolac, 4 ml vial
   C9448           No Change       Oral netupitant palonosetron   Netupitant 300 mg and palonosetron 0.5 mg, oral
   C9449           No Change       Inj, blinatumomab              Injection, blinatumomab, 1 mcg
   C9450           No Change       Fluocinolone acetonide implt   Injection, fluocinolone acetonide intravitreal implant, 0.01 mg
   C9451           No Change       Injection, peramivir           Injection, peramivir, 1 mg
   C9452           No Change       Inj, ceftolozane/tazobactam    Injection, ceftolozane 50 mg and tazobactam 25 mg
   C9453           No Change       Injection, nivolumab           Injection, nivolumab, 1 mg
   C9454           No Change       Inj, pasireotide long acting   Injection, pasireotide long acting, 1 mg
   C9455           No Change       Injection, siltuximab          Injection, siltuximab, 10 mg
   C9456           No Change       Inj, isavuconazonium sulfate   Injection, isavuconazonium sulfate, 1 mg
   C9457           No Change       Lumason contrast agent         Injection, sulfur hexafluoride lipid microsphere, per ml
   C9458           No Change       Florbetaben f18                Florbetaben f18, diagnostic, per study dose, up to 8.1 millicuries
   C9459           No Change       Flutemetamol f18               Flutemetamol f18, diagnostic, per study dose, up to 5 millicuries
   C9460           No Change       Injection, cangrelor           Injection, cangrelor, 1 mg
   C9461           No Change       Choline c 11, diagnostic       Choline c 11, diagnostic, per study dose
   C9462           No Change       Injection, delafloxacin        Injection, delafloxacin, 1 mg
   C9463           No Change       Injection, aprepitant          Injection, aprepitant, 1 mg
   C9464           No Change       Injection, rolapitant          Injection, rolapitant, 0.5 mg
   C9465           No Change       Injection, durolane            Hyaluronan or derivative, durolane, for intra-articular injection, per
   C9466           No Change       Injection, benralizumab        Injection, benralizumab, 1 mg
   C9467           No Change       Inj rituximab hyaluronidase    Injection, rituximab and hyaluronidase, 10 mg
   C9468           No Change       Inj, factor ix, rebinyn        Injection, factor ix (antihemophilic factor, recombinant), glycopegyla
   C9469           No Change       Inj triamcinolone acetonide    Injection, triamcinolone acetonide, preservative-free, extended-releas
   C9470           No Change       Aripiprazole lauroxil im       Injection, aripiprazole lauroxil, 1 mg
   C9471           No Change       Hymovis, 1 mg                  Hyaluronan or derivative, hymovis, for intra-articular injection, 1 mg
   C9472           No Change       Inj talimogene laherparepvec   Injection, talimogene laherparepvec, 1 million plaque forming units (p
   C9473           No Change       Injection, mepolizumab         Injection, mepolizumab, 1 mg
   C9474           No Change       Inj, irinotecan liposome       Injection, irinotecan liposome, 1 mg
   C9475           No Change       Injection, necitumumab         Injection, necitumumab, 1 mg
   C9476           No Change       Injection, daratumumab         Injection, daratumumab, 10 mg
   C9477           No Change       Injection, elotuzumab          Injection, elotuzumab, 1 mg
   C9478           No Change       Injection, sebelipase alfa     Injection, sebelipase alfa, 1 mg
   C9479           No Change       Instill, ciprofloxacin otic    Instillation, ciprofloxacin otic suspension, 6 mg
   C9480           No Change       Injection, trabectedin         Injection, trabectedin, 0.1 mg
   C9481           No Change       Injection, reslizumab          Injection, reslizumab, 1 mg
   C9482           No Change       Sotalol hydrochloride iv       Injection, sotalol hydrochloride, 1 mg
   C9483           No Change       Injection, atezolizumab        Injection, atezolizumab, 10 mg
   C9484           No Change       Injection, eteplirsen          Injection, eteplirsen, 10 mg
   C9485           No Change       Injection, olaratumab          Injection, olaratumab, 10 mg
   C9486           No Change       Inj, granisetron ext           Injection, granisetron extended release, 0.1 mg
   C9487           No Change       Ustekinumab iv inj, 1 mg       Ustekinumab, for intravenous injection, 1 mg
   C9488           No Change       Conivaptan hcl                 Injection, conivaptan hydrochloride, 1 mg
   C9489           No Change       Injection, nusinersen          Injection, nusinersen, 0.1 mg
   C9490           No Change       Injection, bezlotoxumab        Injection, bezlotoxumab, 10 mg
   C9491           No Change       Injection, avelumab            Injection, avelumab, 10 mg
   C9492           No Change       Injection, durvalumab          Injection, durvalumab, 10 mg
   C9493           No Change       Injection, edaravone           Injection, edaravone, 1 mg
   C9494           No Change       Injection, ocrelizumab         Injection, ocrelizumab, 1 mg
   C9497           No Change       Loxapine, inhalation powder    Loxapine, inhalation powder, 10 mg
   C9600        Payment Change     Perc drug-el cor stent sing    Percutaneous transcatheter placement of drug eluting intracoronary ste
   C9601           No Change       Perc drug-el cor stent bran    Percutaneous transcatheter placement of drug-eluting intracoronary ste
   C9602           No Change       Perc d-e cor stent ather s     Percutaneous transluminal coronary atherectomy, with drug eluting intr
   C9603           No Change       Perc d-e cor stent ather br    Percutaneous transluminal coronary atherectomy, with drug-eluting intr
   C9604           No Change       Perc d-e cor revasc t cabg s   Percutaneous transluminal revascularization of or through coronary art
   C9605           No Change       Perc d-e cor revasc t cabg b   Percutaneous transluminal revascularization of or through coronary art
   C9606           No Change       Perc d-e cor revasc w ami s    Percutaneous transluminal revascularization of acute total/subtotal oc
   C9607           No Change       Perc d-e cor revasc chro sin   Percutaneous transluminal revascularization of chronic total occlusion
   C9608           No Change       Perc d-e cor revasc chro add   Percutaneous transluminal revascularization of chronic total occlusion
   C9724           No Change       Eps stomach plic               Endoscopic full-thickness plication of the stomach using endoscopic pl
   C9725           No Change       Place endorectal app           Placement of endorectal intracavitary applicator for high intensity br
   C9726           No Change       Rxt breast appl place/remov    Placement and removal (if performed) of applicator into breast for int
   C9727           No Change       Insert palate implants         Insertion of implants into the soft palate; minimum of three implants
   C9728           No Change       Place device/marker, non pro   Placement of interstitial device(s) for radiation therapy/surgery guid
   C9733           No Change       Non-ophthalmic fva             Non-ophthalmic fluorescent vascular angiography
   C9734           No Change       U/s trtmt, not leiomyomata     Focused ultrasound ablation/therapeutic intervention, other than uteri
   C9735           No Change       Anoscopy, submucosal inj       Anoscopy; with directed submucosal injection(s), any substance
   C9737           No Change       Lap esoph augmentation         Laparoscopy, surgical, esophageal sphincter augmentation with device (
   C9738           No Change       Blue light cysto imag agent    Adjunctive blue light cystoscopy with fluorescent imaging agent  (list
   C9739           No Change       Cystoscopy prostatic imp 1-3   Cystourethroscopy, with insertion of transprostatic implant; 1 to 3 im
   C9740           No Change       Cysto impl 4 or more           Cystourethroscopy, with insertion of transprostatic implant; 4 or more
   C9741           No Change       Impl pressure sensor w/angio   Right heart catheterization with implantation of wireless pressure sen
   C9742           No Change       Laryngoscopy with injection    Laryngoscopy, flexible fiberoptic, with injection into vocal cord(s),
   C9743           No Change       Bulking/spacer material impl   Injection/implantation of bulking or spacer material (any type) with o
   C9744           No Change       Abd us w/contrast              Ultrasound, abdominal, with contrast
   C9745           No Change       Nasal endo eustachian tube     Nasal endoscopy, surgical; balloon dilation of eustachian tube
   C9746         Discontinued      Trans imp balloon cont         Transperineal implantation of permanent adjustable balloon continence
   C9747           No Change       Ablation, hifu, prostate       Ablation of prostate, transrectal, high intensity focused ultrasound (
   C9748           No Change       Prostatic rf water vapor tx    Transurethral destruction of prostate tissue; by radiofrequency water
   C9749           No Change       Repair nasal stenosis w/imp    Repair of nasal vestibular lateral wall stenosis with implant(s)
   C9750           No Change       Ins/rem-replace compl iims     Insertion or removal and replacement of intracardiac ischemia monitori
   C9751           No Change       Microwave bronch, 3d, ebus     Bronchoscopy, rigid or flexible, transbronchial ablation of lesion(s)
   C9752           No Change       Intraosseous des lumb/sacrum   Destruction of intraosseous basivertebral nerve, first two vertebral b
   C9753           No Change       Intraosseous destruct add'l    Destruction of intraosseous basivertebral nerve, each additional verte
   C9754           No Change       Perc av fistula, direct        Creation of arteriovenous fistula,  percutaneous; direct, any site, in
   C9755           No Change       Rf magnetic-guide av fistula   Creation of arteriovenous fistula, percutaneous using magnetic-guided
   C9756              ADD          Fluorescence lymph map w/icg   Intraoperative near-infrared fluorescence lymphatic mapping of lymph n
   C9757              ADD          Spine/lumbar disk surgery      Laminotomy (hemilaminectomy), with decompression of nerve root(s), inc
   C9758              ADD          Interatrial shunt ide          Blinded procedure for nyha class iii/iv heart failure; transcatheter i
   C9800           No Change       Dermal filler inj px/suppl     Dermal injection procedure(s) for facial lipodystrophy syndrome (lds)
   C9898           No Change       Inpnt stay radiolabeled item   Radiolabeled product provided during a hospital inpatient stay
   C9899           No Change       Inpt implant pros dev,no cov   Implanted prosthetic device, payable only for inpatients who do not ha
   E0100           No Change       Cane adjust/fixed with tip     Cane, includes canes of all materials, adjustable or fixed, with tip
   E0105           No Change       Cane adjust/fixed quad/3 pro   Cane, quad or three prong, includes canes of all materials, adjustable
   E0110           No Change       Crutch forearm pair            Crutches, forearm, includes crutches of various materials, adjustable
   E0111           No Change       Crutch forearm each            Crutch forearm, includes crutches of various materials, adjustable or
   E0112           No Change       Crutch underarm pair wood      Crutches underarm, wood, adjustable or fixed, pair, with pads, tips an
   E0113           No Change       Crutch underarm each wood      Crutch underarm, wood, adjustable or fixed, each, with pad, tip and ha
   E0114           No Change       Crutch underarm pair no wood   Crutches underarm, other than wood, adjustable or fixed, pair, with pa
   E0116           No Change       Crutch underarm each no wood   Crutch, underarm, other than wood, adjustable or fixed, with pad, tip,
   E0117           No Change       Underarm springassist crutch   Crutch, underarm, articulating, spring assisted, each
   E0118           No Change       Crutch substitute              Crutch substitute, lower leg platform, with or without wheels, each
   E0130           No Change       Walker rigid adjust/fixed ht   Walker, rigid (pickup), adjustable or fixed height
   E0135           No Change       Walker folding adjust/fixed    Walker, folding (pickup), adjustable or fixed height
   E0140           No Change       Walker w trunk support         Walker, with trunk support, adjustable or fixed height, any type
   E0141           No Change       Rigid wheeled walker adj/fix   Walker, rigid, wheeled, adjustable or fixed height
   E0143           No Change       Walker folding wheeled w/o s   Walker, folding, wheeled, adjustable or fixed height
   E0144           No Change       Enclosed walker w rear seat    Walker, enclosed, four sided framed, rigid or folding, wheeled with po
   E0147           No Change       Walker variable wheel resist   Walker, heavy duty, multiple braking system, variable wheel resistance
   E0148           No Change       Heavyduty walker no wheels     Walker, heavy duty, without wheels, rigid or folding, any type, each
   E0149           No Change       Heavy duty wheeled walker      Walker, heavy duty, wheeled, rigid or folding, any type
   E0153           No Change       Forearm crutch platform atta   Platform attachment, forearm crutch, each
   E0154           No Change       Walker platform attachment     Platform attachment, walker, each
   E0155           No Change       Walker wheel attachment,pair   Wheel attachment, rigid pick-up walker, per pair
   E0156           No Change       Walker seat attachment         Seat attachment, walker
   E0157           No Change       Walker crutch attachment       Crutch attachment, walker, each
   E0158           No Change       Walker leg extenders set of4   Leg extensions for walker, per set of four (4)
   E0159           No Change       Brake for wheeled walker       Brake attachment for wheeled walker, replacement, each
   E0160           No Change       Sitz type bath or equipment    Sitz type bath or equipment, portable, used with or without commode
   E0161           No Change       Sitz bath/equipment w/faucet   Sitz type bath or equipment, portable, used with or without commode, w
   E0162           No Change       Sitz bath chair                Sitz bath chair
   E0163           No Change       Commode chair with fixed arm   Commode chair, mobile or stationary, with fixed arms
   E0165           No Change       Commode chair with detacharm   Commode chair, mobile or stationary, with detachable arms
   E0167           No Change       Commode chair pail or pan      Pail or pan for use with commode chair, replacement only
   E0168           No Change       Heavyduty/wide commode chair   Commode chair, extra wide and/or heavy duty, stationary or mobile, wit
   E0170           No Change       Commode chair electric         Commode chair with integrated seat lift mechanism, electric, any type
   E0171           No Change       Commode chair non-electric     Commode chair with integrated seat lift mechanism, non-electric, any t
   E0172           No Change       Seat lift mechanism toilet     Seat lift mechanism placed over or on top of toilet, any type
   E0175           No Change       Commode chair foot rest        Foot rest, for use with commode chair, each
   E0181           No Change       Press pad alternating w/ pum   Powered pressure reducing mattress overlay/pad, alternating, with pump
   E0182           No Change       Replace pump, alt press pad    Pump for alternating pressure pad, for replacement only
   E0184           No Change       Dry pressure mattress          Dry pressure mattress
   E0185           No Change       Gel pressure mattress pad      Gel or gel-like pressure pad for mattress, standard mattress length an
   E0186           No Change       Air pressure mattress          Air pressure mattress
   E0187           No Change       Water pressure mattress        Water pressure mattress
   E0188           No Change       Synthetic sheepskin pad        Synthetic sheepskin pad
   E0189           No Change       Lambswool sheepskin pad        Lambswool sheepskin pad, any size
   E0190           No Change       Positioning cushion            Positioning cushion/pillow/wedge, any shape or size, includes all comp
   E0191           No Change       Protector heel or elbow        Heel or elbow protector, each
   E0193           No Change       Powered air flotation bed      Powered air flotation bed (low air loss therapy)
   E0194           No Change       Air fluidized bed              Air fluidized bed
   E0196           No Change       Gel pressure mattress          Gel pressure mattress
   E0197           No Change       Air pressure pad for mattres   Air pressure pad for mattress, standard mattress length and width
   E0198           No Change       Water pressure pad for mattr   Water pressure pad for mattress, standard mattress length and width
   E0199           No Change       Dry pressure pad for mattres   Dry pressure pad for mattress, standard mattress length and width
   E0200           No Change       Heat lamp without stand        Heat lamp, without stand (table model), includes bulb, or infrared ele
   E0202           No Change       Phototherapy light w/ photom   Phototherapy (bilirubin) light with photometer
   E0203           No Change       Therapeutic lightbox tabletp   Therapeutic lightbox, minimum 10,000 lux, table top model
   E0205           No Change       Heat lamp with stand           Heat lamp, with stand, includes bulb, or infrared element
   E0210           No Change       Electric heat pad standard     Electric heat pad, standard
   E0215           No Change       Electric heat pad moist        Electric heat pad, moist
   E0217           No Change       Water circ heat pad w pump     Water circulating heat pad with pump
   E0218           No Change       Fluid circ cold pad w pump     Fluid circulating cold pad with pump, any type
   E0221           No Change       Infrared heating pad system    Infrared heating pad system
   E0225           No Change       Hydrocollator unit             Hydrocollator unit, includes pads
   E0231           No Change       Wound warming device           Non-contact wound warming device (temperature control unit, ac adapter
   E0232           No Change       Warming card for nwt           Warming card for use with the non contact wound warming device and non
   E0235           No Change       Paraffin bath unit portable    Paraffin bath unit, portable (see medical supply code a4265 for paraff
   E0236           No Change       Pump for water circulating p   Pump for water circulating pad
   E0239           No Change       Hydrocollator unit portable    Hydrocollator unit, portable
   E0240           No Change       Bath/shower chair              Bath/shower chair, with or without wheels, any size
   E0241           No Change       Bath tub wall rail             Bath tub wall rail, each
   E0242           No Change       Bath tub rail floor            Bath tub rail, floor base
   E0243           No Change       Toilet rail                    Toilet rail, each
   E0244           No Change       Toilet seat raised             Raised toilet seat
   E0245           No Change       Tub stool or bench             Tub stool or bench
   E0246           No Change       Transfer tub rail attachment   Transfer tub rail attachment
   E0247           No Change       Trans bench w/wo comm open     Transfer bench for tub or toilet with or without commode opening
   E0248           No Change       Hdtrans bench w/wo comm open   Transfer bench, heavy duty, for tub or toilet with or without commode
   E0249           No Change       Pad water circulating heat u   Pad for water circulating heat unit, for replacement only
   E0250           No Change       Hosp bed fixed ht w/ mattres   Hospital bed, fixed height, with any type side rails, with mattress
   E0251           No Change       Hosp bed fixd ht w/o mattres   Hospital bed, fixed height, with any type side rails, without mattress
   E0255           No Change       Hospital bed var ht w/ mattr   Hospital bed, variable height, hi-lo, with any type side rails, with m
   E0256           No Change       Hospital bed var ht w/o matt   Hospital bed, variable height, hi-lo, with any type side rails, withou
   E0260           No Change       Hosp bed semi-electr w/ matt   Hospital bed, semi-electric (head and foot adjustment), with any type
   E0261           No Change       Hosp bed semi-electr w/o mat   Hospital bed, semi-electric (head and foot adjustment), with any type
   E0265           No Change       Hosp bed total electr w/ mat   Hospital bed, total electric (head, foot and height adjustments), with
   E0266           No Change       Hosp bed total elec w/o matt   Hospital bed, total electric (head, foot and height adjustments), with
   E0270           No Change       Hospital bed institutional t   Hospital bed, institutional type includes: oscillating, circulating an
   E0271           No Change       Mattress innerspring           Mattress, innerspring
   E0272           No Change       Mattress foam rubber           Mattress, foam rubber
   E0273           No Change       Bed board                      Bed board
   E0274           No Change       Over-bed table                 Over-bed table
   E0275           No Change       Bed pan standard               Bed pan, standard, metal or plastic
   E0276           No Change       Bed pan fracture               Bed pan, fracture, metal or plastic
   E0277           No Change       Powered pres-redu air mattrs   Powered pressure-reducing air mattress
   E0280           No Change       Bed cradle                     Bed cradle, any type
   E0290           No Change       Hosp bed fx ht w/o rails w/m   Hospital bed, fixed height, without side rails, with mattress
   E0291           No Change       Hosp bed fx ht w/o rail w/o    Hospital bed, fixed height, without side rails, without mattress
   E0292           No Change       Hosp bed var ht no sr w/matt   Hospital bed, variable height, hi-lo, without side rails, with mattres
   E0293           No Change       Hosp bed var ht no sr no mat   Hospital bed, variable height, hi-lo, without side rails, without matt
   E0294           No Change       Hosp bed semi-elect w/ mattr   Hospital bed, semi-electric (head and foot adjustment), without side r
   E0295           No Change       Hosp bed semi-elect w/o matt   Hospital bed, semi-electric (head and foot adjustment), without side r
   E0296           No Change       Hosp bed total elect w/ matt   Hospital bed, total electric (head, foot and height adjustments), with
   E0297           No Change       Hosp bed total elect w/o mat   Hospital bed, total electric (head, foot and height adjustments), with
   E0300           No Change       Enclosed ped crib hosp grade   Pediatric crib, hospital grade, fully enclosed, with or without top en
   E0301           No Change       Hd hosp bed, 350-600 lbs       Hospital bed, heavy duty, extra wide, with weight capacity greater tha
   E0302           No Change       Ex hd hosp bed > 600 lbs       Hospital bed, extra heavy duty, extra wide, with weight capacity great
   E0303           No Change       Hosp bed hvy dty xtra wide     Hospital bed, heavy duty, extra wide, with weight capacity greater tha
   E0304           No Change       Hosp bed xtra hvy dty x wide   Hospital bed, extra heavy duty, extra wide, with weight capacity great
   E0305           No Change       Rails bed side half length     Bed side rails, half length
   E0310           No Change       Rails bed side full length     Bed side rails, full length
   E0315           No Change       Bed accessory brd/tbl/supprt   Bed accessory: board, table, or support device, any type
   E0316           No Change       Bed safety enclosure           Safety enclosure frame/canopy for use with hospital bed, any type
   E0325           No Change       Urinal male jug-type           Urinal; male, jug-type, any material
   E0326           No Change       Urinal female jug-type         Urinal; female, jug-type, any material
   E0328           No Change       Ped hospital bed, manual       Hospital bed, pediatric, manual, 360 degree side enclosures, top of he
   E0329           No Change       Ped hospital bed semi/elect    Hospital bed, pediatric, electric or semi-electric, 360 degree side en
   E0350           No Change       Control unit bowel system      Control unit for electronic bowel irrigation/evacuation system
   E0352           No Change       Disposable pack w/bowel syst   Disposable pack (water reservoir bag, speculum, valving mechanism and
   E0370           No Change       Air elevator for heel          Air pressure elevator for heel
   E0371           No Change       Nonpower mattress overlay      Nonpowered advanced pressure reducing overlay for mattress, standard m
   E0372           No Change       Powered air mattress overlay   Powered air overlay for mattress, standard mattress length and width
   E0373           No Change       Nonpowered pressure mattress   Nonpowered advanced pressure reducing mattress
   E0424           No Change       Stationary compressed gas 02   Stationary compressed gaseous oxygen system, rental; includes containe
   E0425           No Change       Gas system stationary compre   Stationary compressed gas system, purchase; includes regulator, flowme
   E0430           No Change       Oxygen system gas portable     Portable gaseous oxygen system, purchase; includes regulator, flowmete
   E0431           No Change       Portable gaseous 02            Portable gaseous oxygen system, rental; includes portable container, r
   E0433           No Change       Portable liquid oxygen sys     Portable liquid oxygen system, rental; home liquefier used to fill por
   E0434           No Change       Portable liquid 02             Portable liquid oxygen system, rental; includes portable container, su
   E0435           No Change       Oxygen system liquid portabl   Portable liquid oxygen system, purchase; includes portable container,
   E0439           No Change       Stationary liquid 02           Stationary liquid oxygen system, rental; includes container, contents,
   E0440           No Change       Oxygen system liquid station   Stationary liquid oxygen system, purchase; includes use of reservoir,
   E0441           No Change       Stationary o2 contents, gas    Stationary oxygen contents, gaseous, 1 month's supply = 1 unit
   E0442           No Change       Stationary o2 contents, liq    Stationary oxygen contents, liquid, 1 month's supply = 1 unit
   E0443           No Change       Portable 02 contents, gas      Portable oxygen contents, gaseous, 1 month's supply = 1 unit
   E0444           No Change       Portable 02 contents, liquid   Portable oxygen contents, liquid, 1 month's supply = 1 unit
   E0445           No Change       Oximeter non-invasive          Oximeter device for measuring blood oxygen levels non-invasively
   E0446           No Change       Topical ox deliver sys, nos    Topical oxygen delivery system, not otherwise specified, includes all
   E0447           No Change       Port o2 cont, liq over 4 lpm   Portable oxygen contents, liquid, 1 month's supply = 1 unit, prescribe
   E0450           No Change       Vol control vent invasiv int   Volume control ventilator, without pressure support mode, may include
   E0455           No Change       Oxygen tent excl croup/ped t   Oxygen tent, excluding croup or pediatric tents
   E0457           No Change       Chest shell                    Chest shell (cuirass)
   E0459           No Change       Chest wrap                     Chest wrap
   E0460           No Change       Neg press vent portabl/statn   Negative pressure ventilator; portable or stationary
   E0461           No Change       Vol control vent noninv int    Volume control ventilator, without pressure support mode, may include
   E0462           No Change       Rocking bed w/ or w/o side r   Rocking bed with or without side rails
   E0463           No Change       Press supp vent invasive int   Pressure support ventilator with volume control mode, may include pres
   E0464           No Change       Press supp vent noninv int     Pressure support ventilator with volume control mode, may include pres
   E0465           No Change       Home vent invasive interface   Home ventilator, any type, used with invasive interface, (e.g., trache
   E0466           No Change       Home vent non-invasive inter   Home ventilator, any type, used with non-invasive interface, (e.g., ma
   E0467           No Change       Home vent multi-function       Home ventilator, multi-function respiratory device, also performs any
   E0470           No Change       Rad w/o backup non-inv intfc   Respiratory assist device, bi-level pressure capability, without backu
   E0471           No Change       Rad w/backup non inv intrfc    Respiratory assist device, bi-level pressure capability, with back-up
   E0472           No Change       Rad w backup invasive intrfc   Respiratory assist device, bi-level pressure capability, with backup r
   E0480           No Change       Percussor elect/pneum home m   Percussor, electric or pneumatic, home model
   E0481           No Change       Intrpulmnry percuss vent sys   Intrapulmonary percussive ventilation system and related accessories
   E0482           No Change       Cough stimulating device       Cough stimulating device, alternating positive and negative airway pre
   E0483           No Change       Hi freq chest wall oscil sys   High frequency chest wall oscillation system, includes all accessories
   E0484           No Change       Non-elec oscillatory pep dvc   Oscillatory positive expiratory pressure device, non-electric, any typ
   E0485           No Change       Oral device/appliance prefab   Oral device/appliance used to reduce upper airway collapsibility, adju
   E0486           No Change       Oral device/appliance cusfab   Oral device/appliance used to reduce upper airway collapsibility, adju
   E0487           No Change       Electronic spirometer          Spirometer, electronic, includes all accessories
   E0500           No Change       Ippb all types                 Ippb machine, all types, with built-in nebulization; manual or automat
   E0550           No Change       Humidif extens supple w ippb   Humidifier, durable for extensive supplemental humidification during i
   E0555           No Change       Humidifier for use w/ regula   Humidifier, durable, glass or autoclavable plastic bottle type, for us
   E0560           No Change       Humidifier supplemental w/ i   Humidifier, durable for supplemental humidification during ippb treatm
   E0561           No Change       Humidifier nonheated w pap     Humidifier, non-heated, used with positive airway pressure device
   E0562           No Change       Humidifier heated used w pap   Humidifier, heated, used with positive airway pressure device
   E0565           No Change       Compressor air power source    Compressor, air power source for equipment which is not self-contained
   E0570           No Change       Nebulizer with compression     Nebulizer, with compressor
   E0572           No Change       Aerosol compressor adjust pr   Aerosol compressor, adjustable pressure, light duty for intermittent u
   E0574           No Change       Ultrasonic generator w svneb   Ultrasonic/electronic aerosol generator with small volume nebulizer
